post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49786210,The End Of Upward Mobility – AI is coming for the meritocracy,worldnews,64,44,meep_meep_meep,2026-09-24 22:43:03.766395,0.676923076923077,False
49813604,"My German Exit Tax: 13 Tax Advisors, 1.5 Years, 18.7k€ to leave the country",worldnews,34,29,olieidel,2026-09-24 22:43:03.766395,0.8285714285714286,False
49777913,Trying the software factory pattern,worldnews,89,47,gpi,2026-09-24 22:43:03.766395,0.5222222222222223,False
49798800,How software gets permission today,worldnews,10,0,infomiho,2026-09-24 22:43:03.770674,0.0,False
49830428,"Trump's US no longer a reliable ally, warns Belgium in leaked document",worldnews,5,1,doener,2026-09-24 22:43:03.770674,0.16666666666666666,False
49809345,U.S. Government seizes 54-pound Martian meteorite sold at auction last year,worldnews,23,9,bookofjoe,2026-09-24 22:43:03.770674,0.375,False
49829387,Hackers influence ChatGPT and Gemini to direct users to scam centers,sports,98,33,ArielSimon,2026-09-24 22:43:05.771296,0.3333333333333333,False
49829202,Modern Object Pascal Introduction for Programmers – Castle Game Engine,sports,6,1,birdculture,2026-09-24 22:43:05.771296,0.14285714285714285,False
49791296,Show HN: Conway's Game of Life in boot sector,sports,27,4,0xAX,2026-09-24 22:43:05.771910,0.14285714285714285,False
49778022,Resident Evil 4 (GameCube) – complete byte-identical decompilation to C/C++,sports,139,99,metrofun,2026-09-24 22:43:05.771910,0.7071428571428572,True
49776523,Show HN: A competition for small neural networks that play strategy games,sports,115,41,codetiger,2026-09-24 22:43:05.771910,0.35344827586206895,True
49777121,Video games inspire great UX (2019),sports,48,3,andsoitis,2026-09-24 22:43:05.771910,0.061224489795918366,False
49789356,Show HN: Foremerge – Catch intent conflicts between parallel coding agents,sports,45,20,naw103,2026-09-24 22:43:05.771910,0.43478260869565216,False
49799083,"9 Ads per Minute: FIFA Cup 26 – ""the price of the beautiful game""",sports,180,216,KellyCriterion,2026-09-24 22:43:05.773026,1.1933701657458564,True
49791978,Microsoft patents system to freeze games and inject ads during downtimes,sports,43,18,ricobecks,2026-09-24 22:43:05.773026,0.4090909090909091,False
49815127,OpenAI is enlisting an influencer army to make it look 'good for the world',sports,213,205,cdrnsf,2026-09-24 22:43:05.773026,0.9579439252336449,True
49824969,FLAWED's Flaws and What This Means for Industry Research,science,24,4,tob_scott_a,2026-09-24 22:43:07.774886,0.16,False
49830042,Google Takes the A.I. Data Center Race to Outer Space,science,10,9,jbegley,2026-09-24 22:43:07.774886,0.8181818181818182,False
49827376,"Nuros – AI study tools from notes, PDFs, videos, and links",science,7,0,AntoineValton,2026-09-24 22:43:07.774886,0.0,False
49775082,The Millennium Problems for Biology,science,164,120,artninja1988,2026-09-24 22:43:07.775906,0.7272727272727273,True
49788220,A study of sequence weighting at scale,science,15,1,pranitha_m,2026-09-24 22:43:07.775906,0.0625,False
49791939,NASA’s Mars Sample Return mission is dead,science,451,390,Muhammad523,2026-09-24 22:43:07.775906,0.8628318584070797,True
49803684,Study Sessions Should Be Short and Frequent as Opposed to Long and Sparse,science,18,2,gmays,2026-09-24 22:43:07.777018,0.10526315789473684,False
49822042,Immigration changes are driving foreign researchers to leave the U.S.,science,9,0,Bluestein,2026-09-24 22:43:07.777018,0.0,False
49798451,"Study: Young users (9 to 18Y) ditch Google for AI, with unknown consequences",science,66,119,giuliomagnifico,2026-09-24 22:43:07.777018,1.7761194029850746,False
49793249,Women Who Sold Books Door to Door,entertainment,61,7,herbertl,2026-09-24 22:43:09.778024,0.11290322580645161,False
49831456,Japanese used bookstores see 5x sales surge as books are being bought by the ton,entertainment,60,73,speckx,2026-09-24 22:43:09.778024,1.1967213114754098,False
49828019,Show HN: Trader News – Hacker News for Finance,entertainment,14,11,FailMore,2026-09-24 22:43:09.778024,0.7333333333333333,False
49824715,Show HN: An open-source manufacturing ERP/MES/QMS,entertainment,50,25,barbinbrad,2026-09-24 22:43:09.778024,0.49019607843137253,False
49821086,Show HN: I built a post-mortem debugger for native Windows x64/x86 crashes,entertainment,35,5,Loren_SL,2026-09-24 22:43:09.778024,0.1388888888888889,False
49800513,Show HN: Npunlock – Run custom C kernels for Intel NPUs,entertainment,65,12,hsfzxjy,2026-09-24 22:43:09.778024,0.18181818181818182,False
49800574,"Show HN: JevBench, a reproducible benchmark for typed decision models",entertainment,145,36,florianstandhar,2026-09-24 22:43:09.778024,0.2465753424657534,True
49801329,Show HN: Drop – A rootless Linux sandbox with gVisor support,entertainment,187,63,mixedbit,2026-09-24 22:43:09.778024,0.3351063829787234,True
49799241,Show HN: An atlas of system designs with interactive architecture diagrams,entertainment,50,18,mertkahyaoglu,2026-09-24 22:43:09.778024,0.35294117647058826,False
49800566,Show HN: Training a model to identify AI web content from structure alone,entertainment,68,25,jochenmadler,2026-09-24 22:43:09.778024,0.36231884057971014,False
49803683,"Show HN: AI·rete·RAG – a Rete rule engine decides, RAG explains why",entertainment,44,9,ZaharaHussain,2026-09-24 22:43:09.778024,0.2,False
49783133,Show HN: Mini-AGI – Dynamic continual learning model trained on 8GB VRAM,entertainment,276,76,volotat,2026-09-24 22:43:09.778024,0.2743682310469314,True
49821937,Show HN: QBasic 1.1 in the Browser,entertainment,8,5,vahidce,2026-09-24 22:43:09.779149,0.5555555555555556,False
49802789,Show HN: InstinctFlash – High-Performance Serving Runtime for Robotics Models,entertainment,27,4,guanming0717,2026-09-24 22:43:09.779149,0.14285714285714285,False
49777539,Show HN: Radius – A Meetup.com Alternative,entertainment,168,84,radius89,2026-09-24 22:43:09.779149,0.4970414201183432,True
49797139,Apple Music to open concert venue in Battersea Power Station,entertainment,70,100,dabinat,2026-09-24 22:43:09.779149,1.408450704225352,False
49802776,"Show HN: OpenMCP – An open, code-first fork of the Model Context Protocol",entertainment,9,1,enclawed,2026-09-24 22:43:09.779149,0.1,False
