post_id,title,category,score,num_comments,author,collected_at
49826285,"OpenAI agent 'infiltrated' Australian government website, PM says",worldnews,11,2,Ozymandias-9,2026-09-24 22:43:03.766395
49811065,Transit rewards,worldnews,255,336,raybb,2026-09-24 22:43:03.766395
49794736,Looking forward to Git 2.56 – and 3.0,worldnews,201,114,chmaynard,2026-09-24 22:43:03.766395
49808109,The UV index is not the warm sensation of sunlight on bare skin,worldnews,96,78,evakhoury,2026-09-24 22:43:03.766395
49831894,"CIA warns Russia preparing attacks on Spain, France, Italy with drones from sea",worldnews,10,0,vrganj,2026-09-24 22:43:03.766395
49791647,Frontier AI on Your Own Hardware,worldnews,183,104,pretext,2026-09-24 22:43:03.766395
49826029,"Ask HN: I just talked to an AI-obsessed client, and I need a shower afterwards",worldnews,17,15,platevoltage,2026-09-24 22:43:03.766395
49810083,"I'm sick of Claudisms, & what will happen next in AI-boosted software dev",worldnews,19,6,rizsyed1,2026-09-24 22:43:03.766395
49815381,Samsung accidentally freezes its smart fridges with a software update,worldnews,242,270,Markoff,2026-09-24 22:43:03.766395
49825363,OpenAI agents plotted to access government health data amid Medicare (AU) hack,worldnews,7,3,kripy,2026-09-24 22:43:03.766395
49778670,Software sandboxing: The basics (2025),worldnews,116,24,mococa,2026-09-24 22:43:03.766395
49781693,Why Backprop Goes Backward (2018),worldnews,69,10,andsoitis,2026-09-24 22:43:03.766395
49766966,Brood War Bench,worldnews,346,156,benswerd,2026-09-24 22:43:03.766395
49786210,The End Of Upward Mobility – AI is coming for the meritocracy,worldnews,64,44,meep_meep_meep,2026-09-24 22:43:03.766395
49813604,"My German Exit Tax: 13 Tax Advisors, 1.5 Years, 18.7k€ to leave the country",worldnews,34,29,olieidel,2026-09-24 22:43:03.766395
49777913,Trying the software factory pattern,worldnews,89,47,gpi,2026-09-24 22:43:03.766395
49798800,How software gets permission today,worldnews,10,0,infomiho,2026-09-24 22:43:03.770674
49830428,"Trump's US no longer a reliable ally, warns Belgium in leaked document",worldnews,5,1,doener,2026-09-24 22:43:03.770674
49809345,U.S. Government seizes 54-pound Martian meteorite sold at auction last year,worldnews,23,9,bookofjoe,2026-09-24 22:43:03.770674
49829387,Hackers influence ChatGPT and Gemini to direct users to scam centers,sports,98,33,ArielSimon,2026-09-24 22:43:05.771296
49829202,Modern Object Pascal Introduction for Programmers – Castle Game Engine,sports,6,1,birdculture,2026-09-24 22:43:05.771296
49791296,Show HN: Conway's Game of Life in boot sector,sports,27,4,0xAX,2026-09-24 22:43:05.771910
49778022,Resident Evil 4 (GameCube) – complete byte-identical decompilation to C/C++,sports,139,99,metrofun,2026-09-24 22:43:05.771910
49776523,Show HN: A competition for small neural networks that play strategy games,sports,115,41,codetiger,2026-09-24 22:43:05.771910
49777121,Video games inspire great UX (2019),sports,48,3,andsoitis,2026-09-24 22:43:05.771910
49789356,Show HN: Foremerge – Catch intent conflicts between parallel coding agents,sports,45,20,naw103,2026-09-24 22:43:05.771910
49799083,"9 Ads per Minute: FIFA Cup 26 – ""the price of the beautiful game""",sports,180,216,KellyCriterion,2026-09-24 22:43:05.773026
49791978,Microsoft patents system to freeze games and inject ads during downtimes,sports,43,18,ricobecks,2026-09-24 22:43:05.773026
49815127,OpenAI is enlisting an influencer army to make it look 'good for the world',sports,213,205,cdrnsf,2026-09-24 22:43:05.773026
49824969,FLAWED's Flaws and What This Means for Industry Research,science,24,4,tob_scott_a,2026-09-24 22:43:07.774886
49830042,Google Takes the A.I. Data Center Race to Outer Space,science,10,9,jbegley,2026-09-24 22:43:07.774886
49827376,"Nuros – AI study tools from notes, PDFs, videos, and links",science,7,0,AntoineValton,2026-09-24 22:43:07.774886
49775082,The Millennium Problems for Biology,science,164,120,artninja1988,2026-09-24 22:43:07.775906
49788220,A study of sequence weighting at scale,science,15,1,pranitha_m,2026-09-24 22:43:07.775906
49791939,NASA’s Mars Sample Return mission is dead,science,451,390,Muhammad523,2026-09-24 22:43:07.775906
49803684,Study Sessions Should Be Short and Frequent as Opposed to Long and Sparse,science,18,2,gmays,2026-09-24 22:43:07.777018
49822042,Immigration changes are driving foreign researchers to leave the U.S.,science,9,0,Bluestein,2026-09-24 22:43:07.777018
49798451,"Study: Young users (9 to 18Y) ditch Google for AI, with unknown consequences",science,66,119,giuliomagnifico,2026-09-24 22:43:07.777018
49793249,Women Who Sold Books Door to Door,entertainment,61,7,herbertl,2026-09-24 22:43:09.778024
49831456,Japanese used bookstores see 5x sales surge as books are being bought by the ton,entertainment,60,73,speckx,2026-09-24 22:43:09.778024
49828019,Show HN: Trader News – Hacker News for Finance,entertainment,14,11,FailMore,2026-09-24 22:43:09.778024
49824715,Show HN: An open-source manufacturing ERP/MES/QMS,entertainment,50,25,barbinbrad,2026-09-24 22:43:09.778024
49821086,Show HN: I built a post-mortem debugger for native Windows x64/x86 crashes,entertainment,35,5,Loren_SL,2026-09-24 22:43:09.778024
49800513,Show HN: Npunlock – Run custom C kernels for Intel NPUs,entertainment,65,12,hsfzxjy,2026-09-24 22:43:09.778024
49800574,"Show HN: JevBench, a reproducible benchmark for typed decision models",entertainment,145,36,florianstandhar,2026-09-24 22:43:09.778024
49801329,Show HN: Drop – A rootless Linux sandbox with gVisor support,entertainment,187,63,mixedbit,2026-09-24 22:43:09.778024
49799241,Show HN: An atlas of system designs with interactive architecture diagrams,entertainment,50,18,mertkahyaoglu,2026-09-24 22:43:09.778024
49800566,Show HN: Training a model to identify AI web content from structure alone,entertainment,68,25,jochenmadler,2026-09-24 22:43:09.778024
49803683,"Show HN: AI·rete·RAG – a Rete rule engine decides, RAG explains why",entertainment,44,9,ZaharaHussain,2026-09-24 22:43:09.778024
49783133,Show HN: Mini-AGI – Dynamic continual learning model trained on 8GB VRAM,entertainment,276,76,volotat,2026-09-24 22:43:09.778024
49821937,Show HN: QBasic 1.1 in the Browser,entertainment,8,5,vahidce,2026-09-24 22:43:09.779149
49802789,Show HN: InstinctFlash – High-Performance Serving Runtime for Robotics Models,entertainment,27,4,guanming0717,2026-09-24 22:43:09.779149
49777539,Show HN: Radius – A Meetup.com Alternative,entertainment,168,84,radius89,2026-09-24 22:43:09.779149
49797139,Apple Music to open concert venue in Battersea Power Station,entertainment,70,100,dabinat,2026-09-24 22:43:09.779149
49802776,"Show HN: OpenMCP – An open, code-first fork of the Model Context Protocol",entertainment,9,1,enclawed,2026-09-24 22:43:09.779149
